rating,easy,medium,hard,acceptance,weekly,score
3845,265,192,235,85,6,5199
3798,234,187,261,50,0,5189
3706,81,88,237,60,0,4674
3682,121,117,219,45,0,4694
3589,147,127,197,75,0,4581
3569,179,155,161,55,0,4541
3569,75,90,215,50,0,4469
3532,129,113,172,75,5,4403
3468,84,84,262,75,7,4506
3463,69,59,109,50,0,3977
3451,184,144,252,60,0,4679
3450,220,175,256,80,6,4788
3447,69,79,88,0,0,3938
3443,37,38,217,40,2,4207
3431,35,30,92,60,0,3802
3330,59,51,127,65,0,3872
3321,103,91,213,40,8,4245
3317,98,86,147,30,0,4028
3297,113,118,109,50,0,3973
3295,171,129,187,70,11,4285
3279,92,76,132,30,18,3919
3277,124,126,298,50,0,4547
3264,198,193,142,60,20,4274
3249,161,126,159,75,0,4139
3235,75,87,183,55,0,4033
3223,30,32,34,65,0,3419
3222,59,60,351,45,6,4454
3219,100,123,227,30,0,4246
3204,121,123,246,75,6,4309
3199,48,44,52,55,0,3491
3180,168,122,210,30,1,4222
3163,218,144,185,45,16,4224
3163,21,28,105,15,0,3555
3161,136,177,247,40,0,4392
3159,53,86,111,45,0,3717
3151,48,74,83,40,0,3596
3147,162,114,221,80,13,4200
3146,53,38,56,35,0,3443
3141,158,144,237,70,15,4298
3141,109,95,155,45,0,3905
3136,22,32,83,25,0,3471
3134,27,22,27,75,0,3286
3118,37,78,279,45,0,4148
3115,72,66,95,60,0,3604
3113,100,128,237,70,0,4180
3109,131,140,157,80,0,3991
3102,91,107,281,50,4,4250
3102,116,90,143,65,0,3827
3096,81,75,105,75,2,3642
3093,0,6,21,25,0,3168
3088,68,57,227,40,4,3951
3086,221,166,178,45,5,4173
3082,211,147,213,65,8,4226
3076,63,63,278,85,13,4099
3074,46,48,59,45,0,3393
3074,78,236,289,70,0,4491
3073,117,124,211,45,0,4071
3072,84,97,299,30,0,4247
3065,51,37,44,85,0,3322
3059,47,60,89,40,2,3493
3059,29,49,121,40,13,3549
3058,196,161,224,60,0,4248
3056,212,198,226,75,6,4342
3055,197,143,141,90,0,3961
3052,50,35,100,60,0,3472
3047,24,29,54,50,0,3291
3047,48,69,154,50,0,3695
3046,117,114,354,85,0,4453
3045,39,33,432,40,0,4446
