ranking,easy,medium,hard,acceptance,weekly,score
5000001,1,2,1,100,4,4
864577,60,72,3,45,0,24
275294,98,200,42,45,0,34
1486236,12,32,36,75,15,26
417534,48,173,37,90,14,43
8578,272,624,340,75,0,68
319651,63,147,100,90,8,45
9925,270,689,236,80,43,83
1372,470,999,483,90,5,95
1056062,36,65,9,55,14,32
230,686,1432,626,90,4,98
2345835,11,19,4,85,4,18
5000001,1,0,0,100,0,2
4274900,5,4,0,83.33,0,6
7669,424,747,103,85,71,74
122959,203,289,32,85,20,53
42333,237,448,102,60,9,60
1486238,25,42,3,45,14,28
170442,120,286,41,50,14,42
43,842,1757,774,70,13,91
360,650,1367,567,80,39,85
22464,248,524,183,45,6,51
95430,28,273,282,100,0,70
188785,120,226,78,50,10,45
251,664,1414,638,75,18,88
2730712,6,17,3,70,10,17
1077,295,1117,667,25,52,73
2179754,8,22,10,85,16,27
617,727,1255,370,80,34,92
489505,55,148,25,55,16,36
832886,27,82,32,60,21,32
37215,225,464,131,55,24,39
619152,59,111,20,55,15,31
16190,258,598,193,65,19,42
6993,316,691,297,40,11,45
2022794,12,23,9,55,10,22
888173,41,60,31,50,8,29
98053,170,343,65,70,32,41
2434,519,857,319,95,28,72
1547422,12,31,23,70,15,29
336,645,1322,643,70,11,82
2359061,7,20,7,50,29,17
249408,146,180,36,50,15,27
1326,420,1043,505,50,12,84
234577,156,212,8,75,136,59
2210578,15,19,4,30,16,21
211540,109,258,32,45,18,35
2359210,21,10,3,85,47,23
432972,97,143,10,45,51,31
524148,134,71,10,20,16,29
220053,127,227,36,70,4,43
46,815,1772,775,95,43,95
1727859,15,35,6,60,12,24
2767,271,913,463,90,14,83
988,502,1154,458,60,11,80
469689,56,110,69,65,3,39
1360812,20,44,14,25,0,25
1028243,22,72,18,30,15,27
9701,309,651,239,50,7,44
4472,420,776,262,60,20,49
240419,116,180,74,70,5,38
2179692,9,28,4,85,14,24
5000001,1,2,0,75,4,3
402897,63,138,69,85,344,34
81204,214,348,61,45,4,40
106206,122,318,120,75,26,51
7793,338,730,200,80,0,73
951,565,1114,462,80,138,87
136,715,1607,584,70,3,92
7616,670,513,93,80,46,62
687425,49,100,20,70,0,53
106480,174,324,59,65,48,47
1857688,16,26,8,65,6,25
283,644,1432,596,65,4,88
665609,51,105,19,60,6,34
1379123,19,48,10,45,5,24
55048,168,411,143,95,16,54
185467,49,215,164,65,10,46
397815,130,114,22,30,5,34
1107755,23,55,25,55,5,28
82250,135,302,183,45,5,48
17562,218,610,199,75,50,63
1320792,33,45,4,25,0,26
39061,200,418,189,60,50,51
195472,132,238,47,75,27,46
25623,239,542,139,75,3,58
432827,93,114,56,95,66,34
2040308,11,24,8,50,5,15
3688429,5,7,2,55,5,10
6745,269,683,365,60,17,59
150728,136,294,45,65,0,47
77281,147,401,88,80,13,51
622645,49,112,25,40,7,39
224816,106,206,73,65,5,44
24121,220,455,262,70,8,53
45437,304,421,44,75,0,48
74517,141,425,79,90,14,49
5000001,1,0,0,100,0,2
17529,202,547,276,40,10,52
140128,126,297,71,80,41,48
511962,57,124,38,45,8,34
546011,111,80,17,65,0,32
1265908,32,51,3,90,0,28
235667,94,239,41,70,5,35
1414,477,1138,320,75,15,88
