rating,easy,medium,hard,acceptance,weekly
3845.0,265.0,192.0,235.0,85.0,6.0
3798.0,234.0,187.0,261.0,50.0,0.0
3706.0,81.0,88.0,237.0,60.0,0.0
3682.0,121.0,117.0,219.0,45.0,0.0
3589.0,147.0,127.0,197.0,75.0,0.0
3569.0,179.0,155.0,161.0,55.0,0.0
3569.0,75.0,90.0,215.0,50.0,0.0
3532.0,129.0,113.0,172.0,75.0,5.0
3468.0,84.0,84.0,262.0,75.0,7.0
3463.0,69.0,59.0,109.0,50.0,0.0
3451.0,184.0,144.0,252.0,60.0,0.0
3450.0,220.0,175.0,256.0,80.0,6.0
3447.0,69.0,79.0,88.0,0.0,0.0
3443.0,37.0,38.0,217.0,40.0,2.0
3431.0,35.0,30.0,92.0,60.0,0.0
3330.0,59.0,51.0,127.0,65.0,0.0
3321.0,103.0,91.0,213.0,40.0,8.0
3317.0,98.0,86.0,147.0,30.0,0.0
3297.0,113.0,118.0,109.0,50.0,0.0
3295.0,171.0,129.0,187.0,70.0,11.0
3279.0,92.0,76.0,132.0,30.0,18.0
3277.0,124.0,126.0,298.0,50.0,0.0
3264.0,198.0,193.0,142.0,60.0,20.0
3249.0,161.0,126.0,159.0,75.0,0.0
3235.0,75.0,87.0,183.0,55.0,0.0
3223.0,30.0,32.0,34.0,65.0,0.0
3222.0,59.0,60.0,351.0,45.0,6.0
3219.0,100.0,123.0,227.0,30.0,0.0
3204.0,121.0,123.0,246.0,75.0,6.0
3199.0,48.0,44.0,52.0,55.0,0.0
3180.0,168.0,122.0,210.0,30.0,1.0
3163.0,218.0,144.0,185.0,45.0,16.0
3163.0,21.0,28.0,105.0,15.0,0.0
3161.0,136.0,177.0,247.0,40.0,0.0
3159.0,53.0,86.0,111.0,45.0,0.0
3151.0,48.0,74.0,83.0,40.0,0.0
3147.0,162.0,114.0,221.0,80.0,13.0
3146.0,53.0,38.0,56.0,35.0,0.0
3141.0,158.0,144.0,237.0,70.0,15.0
3141.0,109.0,95.0,155.0,45.0,0.0
3136.0,22.0,32.0,83.0,25.0,0.0
3134.0,27.0,22.0,27.0,75.0,0.0
3118.0,37.0,78.0,279.0,45.0,0.0
3115.0,72.0,66.0,95.0,60.0,0.0
3113.0,100.0,128.0,237.0,70.0,0.0
3109.0,131.0,140.0,157.0,80.0,0.0
3102.0,91.0,107.0,281.0,50.0,4.0
3102.0,116.0,90.0,143.0,65.0,0.0
3096.0,81.0,75.0,105.0,75.0,2.0
3093.0,0.0,6.0,21.0,25.0,0.0
3088.0,68.0,57.0,227.0,40.0,4.0
3086.0,221.0,166.0,178.0,45.0,5.0
3082.0,211.0,147.0,213.0,65.0,8.0
3076.0,63.0,63.0,278.0,85.0,13.0
3074.0,46.0,48.0,59.0,45.0,0.0
3074.0,78.0,236.0,289.0,70.0,0.0
3073.0,117.0,124.0,211.0,45.0,0.0
3072.0,84.0,97.0,299.0,30.0,0.0
3065.0,51.0,37.0,44.0,85.0,0.0
3059.0,47.0,60.0,89.0,40.0,2.0
3059.0,29.0,49.0,121.0,40.0,13.0
3058.0,196.0,161.0,224.0,60.0,0.0
3056.0,212.0,198.0,226.0,75.0,6.0
3055.0,197.0,143.0,141.0,90.0,0.0
3052.0,50.0,35.0,100.0,60.0,0.0
3047.0,24.0,29.0,54.0,50.0,0.0
3047.0,48.0,69.0,154.0,50.0,0.0
3046.0,117.0,114.0,354.0,85.0,0.0
3045.0,39.0,33.0,432.0,40.0,0.0
3044.0,34.0,70.0,187.0,65.0,0.0
3037.0,47.0,63.0,399.0,55.0,0.0
3034.0,83.0,110.0,215.0,45.0,0.0
3033.0,97.0,129.0,171.0,45.0,0.0
3032.0,42.0,37.0,230.0,15.0,3.0
3028.0,87.0,77.0,235.0,35.0,7.0
3027.0,158.0,185.0,202.0,30.0,2.0
3024.0,37.0,55.0,229.0,45.0,0.0
3023.0,88.0,87.0,234.0,70.0,0.0
3021.0,54.0,51.0,327.0,40.0,1.0
3017.0,120.0,75.0,101.0,85.0,53.0
3014.0,47.0,89.0,98.0,40.0,0.0
3013.0,114.0,111.0,281.0,60.0,24.0
3013.0,41.0,90.0,295.0,40.0,0.0
3011.0,48.0,45.0,98.0,40.0,0.0
3009.0,110.0,108.0,243.0,60.0,0.0
3008.0,65.0,54.0,177.0,70.0,0.0
3008.0,69.0,84.0,118.0,60.0,0.0
3008.0,284.0,202.0,196.0,90.0,6.0
3006.0,46.0,83.0,135.0,50.0,0.0
3004.0,35.0,31.0,172.0,85.0,0.0
3002.0,132.0,183.0,233.0,55.0,0.0
2995.0,64.0,49.0,82.0,95.0,4.0
2995.0,50.0,65.0,89.0,50.0,0.0
2994.0,91.0,114.0,222.0,55.0,0.0
2987.0,51.0,47.0,57.0,65.0,4.0
2984.0,176.0,160.0,166.0,60.0,0.0
2983.0,65.0,89.0,273.0,65.0,4.0
2980.0,180.0,161.0,203.0,35.0,10.0
2974.0,195.0,161.0,140.0,75.0,0.0
2971.0,54.0,65.0,262.0,55.0,2.0
2970.0,123.0,98.0,160.0,45.0,0.0
2969.0,298.0,155.0,116.0,80.0,0.0
2968.0,113.0,87.0,148.0,35.0,6.0
2967.0,90.0,92.0,104.0,55.0,0.0
2966.0,55.0,42.0,187.0,40.0,0.0
2959.0,176.0,148.0,207.0,65.0,11.0
2950.0,54.0,65.0,141.0,70.0,0.0
2948.0,48.0,50.0,153.0,35.0,0.0
2947.0,107.0,113.0,341.0,85.0,2.0
2945.0,26.0,38.0,49.0,50.0,0.0
2944.0,0.0,0.0,0.0,0.0,0.0
2942.0,90.0,93.0,134.0,30.0,14.0
2940.0,108.0,86.0,227.0,60.0,13.0
2940.0,156.0,123.0,161.0,60.0,0.0
2937.0,216.0,174.0,122.0,70.0,0.0
2933.0,118.0,116.0,236.0,70.0,0.0
2931.0,74.0,92.0,147.0,65.0,0.0
2926.0,95.0,65.0,150.0,60.0,0.0
2926.0,30.0,32.0,344.0,50.0,1.0
2926.0,46.0,38.0,319.0,5.0,0.0
2923.0,14.0,8.0,14.0,40.0,0.0
2923.0,77.0,135.0,178.0,50.0,0.0
2923.0,102.0,93.0,83.0,30.0,0.0
2921.0,107.0,163.0,191.0,90.0,0.0
2916.0,63.0,100.0,70.0,40.0,0.0
2904.0,69.0,70.0,272.0,85.0,0.0
2903.0,26.0,21.0,252.0,75.0,0.0
2901.0,128.0,60.0,267.0,40.0,11.0
2900.0,117.0,102.0,107.0,50.0,10.0
2900.0,284.0,194.0,258.0,95.0,0.0
2900.0,84.0,99.0,257.0,35.0,0.0
2899.0,109.0,93.0,131.0,80.0,3.0
2898.0,67.0,48.0,211.0,50.0,1.0
2896.0,76.0,82.0,72.0,50.0,0.0
2891.0,57.0,50.0,106.0,45.0,0.0
2890.0,33.0,36.0,235.0,40.0,1.0
2886.0,190.0,137.0,147.0,45.0,6.0
2882.0,37.0,22.0,32.0,50.0,0.0
2881.0,38.0,33.0,109.0,25.0,0.0
2879.0,31.0,38.0,142.0,40.0,0.0
2874.0,214.0,153.0,156.0,70.0,1.0
2871.0,101.0,106.0,115.0,40.0,0.0
2870.0,134.0,109.0,142.0,45.0,2.0
2867.0,41.0,40.0,318.0,45.0,0.0
2865.0,389.0,237.0,123.0,85.0,9.0
2863.0,194.0,144.0,182.0,50.0,14.0
2863.0,56.0,65.0,106.0,35.0,0.0
2862.0,141.0,171.0,177.0,85.0,0.0
2852.0,45.0,46.0,47.0,25.0,0.0
2849.0,216.0,165.0,117.0,75.0,0.0
2849.0,49.0,121.0,102.0,70.0,0.0
2848.0,104.0,119.0,64.0,5.0,0.0
2847.0,89.0,70.0,82.0,75.0,1.0
2846.0,135.0,120.0,159.0,55.0,0.0
2845.0,115.0,186.0,232.0,60.0,0.0
2842.0,139.0,100.0,160.0,35.0,0.0
2839.0,38.0,33.0,56.0,40.0,0.0
2838.0,27.0,23.0,15.0,15.0,0.0
2837.0,70.0,77.0,222.0,60.0,0.0
2836.0,35.0,59.0,82.0,75.0,0.0
2834.0,85.0,86.0,80.0,50.0,0.0
2833.0,46.0,39.0,33.0,25.0,0.0
2832.0,103.0,80.0,169.0,30.0,0.0
2830.0,62.0,115.0,264.0,35.0,5.0
2829.0,49.0,34.0,72.0,25.0,0.0
2828.0,88.0,157.0,166.0,60.0,0.0
2827.0,32.0,29.0,31.0,75.0,0.0
2825.0,112.0,89.0,109.0,40.0,0.0
2825.0,89.0,164.0,126.0,45.0,0.0
2823.0,69.0,158.0,137.0,60.0,0.0
2820.0,37.0,30.0,236.0,55.0,1.0
2819.0,120.0,76.0,118.0,45.0,8.0
2819.0,68.0,107.0,257.0,60.0,0.0
2819.0,359.0,172.0,94.0,65.0,26.0
2816.0,70.0,72.0,244.0,60.0,0.0
2816.0,146.0,171.0,179.0,65.0,0.0
2815.0,35.0,45.0,155.0,35.0,0.0
2814.0,102.0,80.0,108.0,90.0,5.0
2813.0,86.0,97.0,150.0,40.0,0.0
2809.0,169.0,145.0,66.0,40.0,0.0
2804.0,93.0,78.0,201.0,55.0,0.0
2801.0,111.0,102.0,139.0,65.0,0.0
2801.0,78.0,91.0,152.0,70.0,38.0
2798.0,78.0,98.0,237.0,60.0,0.0
2794.0,78.0,88.0,227.0,45.0,0.0
2791.0,87.0,82.0,119.0,45.0,0.0
2786.0,73.0,83.0,103.0,35.0,12.0
2785.0,138.0,128.0,135.0,55.0,0.0
2784.0,90.0,146.0,176.0,10.0,21.0
2781.0,103.0,126.0,177.0,60.0,0.0
2780.0,104.0,95.0,158.0,45.0,0.0
2779.0,50.0,47.0,24.0,35.0,0.0
2776.0,133.0,145.0,69.0,50.0,0.0
2776.0,146.0,131.0,168.0,40.0,5.0
2775.0,83.0,90.0,243.0,15.0,0.0
2773.0,75.0,94.0,235.0,55.0,2.0
2772.0,47.0,41.0,152.0,55.0,0.0
2770.0,135.0,123.0,132.0,35.0,0.0
2769.0,30.0,17.0,22.0,65.0,0.0
2769.0,31.0,40.0,317.0,50.0,4.0
2769.0,30.0,28.0,49.0,65.0,1.0
2769.0,42.0,38.0,36.0,70.0,0.0
2768.0,109.0,116.0,251.0,50.0,0.0
2768.0,96.0,87.0,114.0,65.0,0.0
2767.0,52.0,65.0,97.0,90.0,0.0
2766.0,41.0,35.0,43.0,55.0,0.0
2766.0,167.0,122.0,132.0,45.0,16.0
2765.0,142.0,176.0,91.0,50.0,0.0
2764.0,56.0,59.0,106.0,75.0,1.0
2764.0,142.0,162.0,193.0,60.0,0.0
2763.0,160.0,206.0,227.0,50.0,0.0
2762.0,33.0,28.0,57.0,15.0,1.0
2759.0,89.0,102.0,123.0,40.0,0.0
2758.0,168.0,108.0,130.0,30.0,0.0
2758.0,49.0,65.0,260.0,35.0,0.0
2758.0,254.0,190.0,177.0,70.0,6.0
2757.0,75.0,75.0,220.0,45.0,0.0
2757.0,57.0,119.0,165.0,45.0,0.0
2755.0,141.0,168.0,219.0,80.0,0.0
2753.0,194.0,147.0,154.0,55.0,0.0
2752.0,82.0,112.0,98.0,45.0,0.0
2750.0,114.0,94.0,103.0,40.0,0.0
2750.0,127.0,96.0,124.0,50.0,0.0
2750.0,52.0,45.0,73.0,60.0,0.0
2749.0,88.0,86.0,126.0,90.0,0.0
2749.0,67.0,50.0,65.0,60.0,1.0
2749.0,22.0,23.0,32.0,60.0,0.0
2748.0,58.0,46.0,62.0,30.0,0.0
2745.0,63.0,56.0,52.0,45.0,0.0
2744.0,24.0,28.0,149.0,45.0,0.0
2744.0,102.0,132.0,190.0,55.0,0.0
2744.0,46.0,55.0,204.0,20.0,0.0
2742.0,62.0,70.0,193.0,50.0,0.0
2742.0,120.0,88.0,109.0,60.0,0.0
2741.0,27.0,34.0,48.0,75.0,0.0
2740.0,69.0,75.0,305.0,45.0,0.0
2739.0,37.0,75.0,65.0,55.0,0.0
2738.0,66.0,59.0,152.0,85.0,1.0
2738.0,40.0,48.0,80.0,90.0,0.0
2737.0,88.0,76.0,260.0,60.0,0.0
2736.0,129.0,109.0,155.0,55.0,0.0
2735.0,272.0,188.0,130.0,60.0,5.0
2733.0,41.0,55.0,274.0,55.0,8.0
2732.0,65.0,92.0,102.0,60.0,0.0
2732.0,177.0,158.0,165.0,80.0,0.0
2731.0,66.0,151.0,216.0,55.0,0.0
2731.0,76.0,71.0,25.0,80.0,0.0
2730.0,67.0,62.0,172.0,0.0,0.0
2729.0,58.0,76.0,196.0,40.0,0.0
2728.0,206.0,174.0,198.0,80.0,3.0
2728.0,61.0,86.0,314.0,30.0,7.0
2726.0,87.0,112.0,125.0,70.0,0.0
2725.0,119.0,82.0,199.0,45.0,1.0
2724.0,82.0,119.0,241.0,65.0,0.0
2724.0,178.0,143.0,267.0,75.0,0.0
2723.0,64.0,44.0,47.0,75.0,0.0
2723.0,95.0,167.0,74.0,20.0,0.0
2722.0,8.0,10.0,7.0,25.0,0.0
2720.0,139.0,111.0,124.0,85.0,0.0
2720.0,60.0,52.0,64.0,75.0,0.0
2719.0,136.0,161.0,130.0,75.0,0.0
2719.0,52.0,87.0,260.0,65.0,0.0
2718.0,27.0,18.0,14.0,85.0,0.0
2716.0,133.0,140.0,117.0,20.0,3.0
2715.0,107.0,72.0,72.0,30.0,6.0
2715.0,30.0,39.0,391.0,25.0,7.0
2715.0,52.0,67.0,186.0,45.0,0.0
2714.0,136.0,138.0,147.0,40.0,3.0
2712.0,105.0,72.0,68.0,25.0,0.0
2711.0,32.0,31.0,47.0,40.0,7.0
2709.0,229.0,168.0,122.0,30.0,13.0
2708.0,133.0,127.0,164.0,65.0,0.0
2707.0,41.0,34.0,35.0,25.0,0.0
2705.0,131.0,139.0,109.0,50.0,0.0
2705.0,44.0,40.0,51.0,60.0,0.0
2705.0,17.0,28.0,53.0,10.0,0.0
2703.0,26.0,35.0,40.0,15.0,0.0
2702.0,64.0,71.0,239.0,65.0,0.0
2701.0,46.0,50.0,193.0,20.0,0.0
2700.0,221.0,173.0,190.0,85.0,0.0
2700.0,106.0,185.0,157.0,80.0,0.0
2700.0,14.0,24.0,137.0,60.0,2.0
2698.0,62.0,67.0,122.0,60.0,0.0
2697.0,50.0,65.0,85.0,5.0,0.0
2697.0,4.0,0.0,0.0,20.0,0.0
